Index,Collisions,Hash
996,193,X317BO
997,27,P256RW
998,61,G959OE
999,73,D257AA
1000,93,G705QA
1001,108,K378BK
1002,21,S531IX
1003,39,B721XX
1004,185,D076VO
1005,106,B873OR
1006,206,A193QZ
1007,142,K375UI
1008,41,S652PP
1009,30,Q862KO
1010,248,F317LD
1011,53,V505GC
1012,124,D367DL
1013,86,O047QB
1014,48,R022OG
1015,160,N326GF
1016,261,U170CF
1017,61,Y807UO
1018,46,Z455NZ
1019,170,H073EL
1020,106,E912IL
1021,26,S003UJ
1022,57,X416XM
1023,209,J986KY
1024,107,Q307LZ
1025,266,K741IU
1026,15,P213OT
1027,52,I364WF
1028,95,K473DP
1029,134,L590HD
1030,111,R035BO
1031,27,O425UO
1032,20,L034XR
1033,146,L585AX
1034,114,X882GE
1035,178,P279OI
1036,215,L958PG
1037,39,Q297WG
1038,23,B730KL
1039,252,O451CF
1040,76,P376KE
1041,127,S321JB
1042,63,H740DW
1043,64,K798AI
1044,159,B034VH
1045,268,N272BL
1046,69,Q805YB
1047,38,Q103SA
1048,156,H937HA
1049,109,P109CJ
1050,34,L936QG
1051,46,Y220VV
1052,169,R054SX
1053,82,Z151OR
1054,251,K105HX
1055,33,B315ZU
1056,63,M782OG
1057,90,K630TA
1058,128,B011XK
1059,162,A941QL
1060,42,P012TX
1061,24,W283IQ
1062,130,C878DZ
1063,98,Z039OB
1064,195,Q045RO
1065,179,I410UW
1066,25,P362PW
1067,13,F279AK
1068,256,A136RA
1069,93,F254RN
1070,153,J261PC
1071,70,X376BE
1072,42,G049GS
1073,154,E216CW
1074,304,G909AN
1075,49,T546GP
1076,38,W392TY
1077,141,H300OK
1078,105,C091RI
1079,37,E789AY
1080,52,K102QU
1081,146,Y570LV
1082,94,E260LP
1083,235,L591CY
1084,40,Y248ZH
1085,60,I614GZ
1086,73,M029GK
1087,123,K168BL
1088,159,J951NF
1089,29,W278SE
1090,43,O138YK
1091,165,P288GP
1092,82,C270SY
1093,166,G939WI
1094,229,E477YK
1095,33,E079YU
